"","...1","x1","ungulate_latin_name","avg_species_weight_kg","avg_species_shoulder_height_cm","ruminant_non_ruminant","researcher","ungulate_family","ungulate_common_name","binned_season","year_started","year_ended","plant_reported_family","plant_reported_name","percent_contribution_to_diet","data_type","binned_units","binned_method","total_sample_size","binned_total_sample_size_units","latitude_1","longitude_1","latitude_2","longitude_2","reported_study_site_location","country","biome","citation_abrv","latitude_1_decimal","longitude_1_decimal","latitude_2_decimal","longitude_2_decimal","latitude_average","longitude_average","point_type"
"27",5447,5447,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Asparagus fulcatus",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"28",5448,5448,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"A. virgatus",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"29",5449,5449,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Strychnos innocua",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"30",5450,5450,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"S. spinosa",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"31",5451,5451,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Ekebergia capensis",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"32",5452,5452,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Cissampelos torulosa",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"33",5453,5453,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Ficus sp.",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"34",5454,5454,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"F. stuhlmanii",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"35",5455,5455,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Oxalis sp.",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"36",5456,5456,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Podocarpus sp.",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"37",5457,5457,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Ziziphus mucronata",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"38",5458,5458,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Azima tetracantha",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"39",5459,5459,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Beguaertiodendron magalismontanum",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"40",5460,5460,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Sideroxylon inerme",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"41",5461,5461,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"Solanum sp.",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
"42",5462,5462,"Cephalophus natalensis","11.5","43","Ruminant","kyra_n","Bovidae","Red duiker","annual","1956 (earliest literature used)","1987 (most recent literature used)",NA,"S. mauritianum",NA,"presence/absence","presence/absence","literature review",NA,NA,NA,NA,NA,NA,"southern African subregion","variety",NA,"Bowland, 1990",NA,NA,NA,NA,NA,NA,NA
